entry_num,url,page_count,pub_year,Notes
19775,http://olc1.ohiolink.edu:80/record=b11775552~S0,302,1932,two unnumbered pages
448,http://olc1.ohiolink.edu:80/record=b14582640~S0,631,1880,
11727,http://olc1.ohiolink.edu:80/record=b15176699~S0,186,1977,
18900,http://olc1.ohiolink.edu:80/record=b37095242~S0,171,2015,
8147,http://olc1.ohiolink.edu:80/record=b10346656~S0,241,1991,
19475,http://olc1.ohiolink.edu:80/record=b39974510~S0,146,2018,
17756,http://olc1.ohiolink.edu:80/record=b13407888~S0,272,1989,
18711,http://olc1.ohiolink.edu:80/record=b29949303~S0,413,1891,
19906,http://olc1.ohiolink.edu:80/record=b12572204~S0,40,1981,
13788,http://olc1.ohiolink.edu:80/record=b17793399~S0,,1997,Pub year is indicating first publish // journal
3656,http://olc1.ohiolink.edu:80/record=b20598827~S0,,1974,Pub year is indicating first publish // journal
14863,http://olc1.ohiolink.edu:80/record=b20560847~S0,209,1975,
12313,http://olc1.ohiolink.edu:80/record=b25836652~S0,154,2007,
17286,http://olc1.ohiolink.edu:80/record=b24132457~S0,346,1901,
198,http://olc1.ohiolink.edu:80/record=b17699140~S0,211,1996,
4386,http://olc1.ohiolink.edu:80/record=b22838172~S0,310,2004,
13677,http://olc1.ohiolink.edu:80/record=b10633475~S0,,1981,Pub year is indicating first publish // journal
144,http://olc1.ohiolink.edu:80/record=b14506274~S0,,,no year or page numbers included in entry
10149,http://olc1.ohiolink.edu:80/record=b10316777~S0,305,1977,
1361,http://olc1.ohiolink.edu:80/record=b19860139~S0,128,1961,
5810,http://olc1.ohiolink.edu:80/record=b13486054~S0,422,1994,
2123,http://olc1.ohiolink.edu:80/record=b13275482~S0,251,1994,
12774,http://olc1.ohiolink.edu:80/record=b13405315~S0,612,1967,
11497,http://olc1.ohiolink.edu:80/record=b15692303~S0,157,1971,
19688,http://olc1.ohiolink.edu:80/record=b33472783~S0,256,1931,
8684,http://olc1.ohiolink.edu:80/record=b35769733~S0,278,2015,
6725,http://olc1.ohiolink.edu:80/record=b12518899~S0,303,1992,
16650,http://olc1.ohiolink.edu:80/record=b20343236~S0,712,2000,
8865,http://olc1.ohiolink.edu:80/record=b10267192~S0,272,1984,
16819,http://olc1.ohiolink.edu:80/record=b35207854~S0,269,2013,
